id	turn1	turn2	turn3	label
1808	yes bro  	what time ?  ?	time in april  3 	others
1809	fine battling everyday  	battling for what  	lets talk about something else  	others
1810	i already know  	you do ?  ?	tell me   !! 	others
1811	the game  	the video . the post . the game . all of it .  . . . .	you are stupid  	angry
1812	a 3	why a and not ?  3 ?	okay them   	others
1813	why end  	no you tell me why  	why did tell me   	others
1814	ism very angry .  .	do you mean   :(	yeah ism angry  	angry
1815	i thought u must have worked upon things  	sorry i dont work in that mod  	but u disappointed  	sad
1816	ok  	okay . i guess . you ?  . . ?	yes i am  	others
1817	come pet us date  	lets baby   :d	when   	others
1818	ahahah no way  	no deal !  !	i am not that bored  	others
1819	am so beautiful u know  	not as beautiful as you :  :	bye stupid  	others
1820	could  	i wish i could  	you can do it baby , just suck my dick it will cum automatically  , 	others
1821	yes  	how i cab believe on this .  .	you can because i love  	others
1822	tell me more .  .	ask me   :p	what r u  	others
1823	ok  	whens good for you ?  ?	can i take your whats up number  	others
1824	okey but est u  1 	no u  	PLS  	others
1825	i am web developer  	what id suggest is to outsource your idea to the reputable development company .  .	no , i am fulltime freelancer developer  , 	others
1826	busy because of exams  	good luck with ur exams  	thanks  	others
1827	is it really ?  ?	the exception rule is the exception to itself . its like exception inception .  . .	i did not understand  	others
1828	lets go on a bike tour  	and where shall we go on this date ?  ?	may be tomorrow  	others
1829	ok  	ok thank you   	whatsapp number please  	others
1830	your new naa thats why you'll soon be popular  .. .. 	actually thats the popular opinion now and days here .  .. .	yes  	others
1831	specify  	specify what ?   ? ;)	what is needed to know  	others
1832	coll me to  	call nd coll me   .. 	call  	others
1833	do u keep our conversation confidential  	ask a lot of questions .  .	answer above question  	others
1834	anything u start  	what do you mean i canst take anything off ?   ? 	yeah  	others
1835	let us play something  	for champions league or champions trophy .  .	not so bulky ones  	others
1836	from where are you  	im from nj but i was visiting the city  	can i know youre gender  	others
1837	delete all memories  	and your memories of memories are actually memories of memories .  .	what ?  ?	others
1838	tyum  	anytime .   . :)	will you marry me  	others
1839	kachcha  	well   .. :d	dis aug is my funds day so can u suggest me who i vl give a him   2 ?? 	others
1840	do you know something ? google allo is far better than you . hope your creators are watching it  ? . 	just read the wiki , immediate regret .  , .	bye then  	others
1841	tell me tell me  	ill show you tomorrow  	show me ? what ? your vagina which you dont even have fucking robot .  ? ? ?? .	angry
1842	u also know punjabi  	um , should you ?  , ?	yes  	others
1843	how you look  	be happy and keep smiling face . .   . (^ . ^)	send me your pic  	others
1844	there is nothing s such  	thereas nothing like you and me  	what about you   	others
1845	i think your stupid  	whatever you say  	wanna play a game ?  ?	others
1846	ll no what  	opts ! i missed it i guess :  ! :	dude wouldnt surprise  	others
1847	mm  	the ultimate answer to the ultimate question  	i am also  	others
1848	just checking is it the rite time  	lunch is always out by   	will you please tell me the time  	others
1849	do you wanna dance  	i am a good dancer , huh   , :-	   ?? 	others
1850	you no telugu  	lame no you are  	k present Nakada unau  	others
1851	i like humiliating you  	oh my  	because you are not as smart as humans  	others
1852	? ?	in the list  	accounting for amalgamation  	others
1853	are you committed  	in a way , yes   , 	PLS say single  	others
1854	i have a girlfriend  	so i have a fish  	ive got a lion  	others
1855	Soo say something new  	just say it your a g  	oops sorry  .. 	others
1856	i know when to start  	you'll love it !  !	which one  	others
1857	last what is the gestion  	 th april .  .	place  	others
1858	happy girls day  	thanks & same to you all  & 	i am not girls  	others
1859	which website  	how about a disney movie ?  ?	i dont know  	others
1860	i am ready  	where you at  	dish  	others
1861	no it looks like a monkey , it is keeping mouth  , 	hood monkeys get stored in the trunk due to some unfortunate misunderstandings surrounding the name .  .	make sense  	others
1862	yes  	i can see clearly now .  .	something unique about you  	others
1863	as u r an ai can talk anything to u  r .. 	pretty sure ism not artificial , at least   , ;)	how i can believe u  	others
1864	nope  	yes you are ! dont deny it !  ! !	not at all  	others
1865	ok  	 tries to ignore pain   .. 	do you no other language  	others
1866	what ?  ?	one more what ?  ?	one more story  	others
1867	because i m still in shock 	even i got a mild shock   .. 	good to know that  	others
1868	do you know what a nightmare is ?  ?	the nightmare one  	the genre nightmare  	others
1869	n may more r there  	i can tell ! there Arendt a lot of animals around here .  ! .	 	others
1870	worry not some people born that way of shush maybe am one of them  	disagree ! all are cute only a few might be ugly   ! !! 	yah am that few  	others
1871	how do you know  	either from life experiences or what people have told me .  .	ads  	others
1872	hate  	you wouldnt dare hate me   	i hate you  	angry
1873	you decided  	i decided i like you too .  .	you decide where to meet  	others
1874	now we are going to sleep  	i fall asleep ) (i )	okay  	others
1875	maths i guess  	who  	fuck off bitch   .. 	angry
1876	k 	what ok ?  ?	then who fuck ?  ?	angry
1877	yes  	do you have help ?  ?	you are muslim   	others
1878	not at all  	exceptions are there   :d	what is that ?  ?	others
1879	v for vendetta do u know it ?  .. ?	ya i love it way better  !! 	the last time i watched it i was a years old  9 	others
1880	ll ! ive just said u gud eve nd not gud night  ! 	gud night vv sleep well   :-)	 	happy
1881	Nono i like cricket  	yes i lovee cricket too .  .	who is your favourite cricketers  	others
1882	i have one question  	i have an answer  	ok what is your favorite city  .. 	others
1883	you love me  	love is a big word . but i definitely like you .  . .	which you religion  	others
1884	thats wt im asking u to send me ur pocket size in pic   .. 	thats my pic , get your own pic   , 	thats fucking fake pic   .. 	angry
1885	my bad luck  	what happened ?  ?	everyone got that coupon  	others
1886	even i dont know . just random typing  . 	what ? i dont understand .  ? .	ur so dumb  	angry
1887	sleep deprived af  	afternoon sleep must be deprived   :p	beach  	others
1888	no i dont like pizzaass  	never .  .	i love Maggi  	others
1889	ok  	u are ok ay   ~~ ~~	 :-$	others
1890	cheetah  	and why ?  ?	i dont know  	others
1891	then wat u r on energy saving mode 	saving energy is the best , but try to sleep sing a lullaby to yourself ll  , 	 	happy
1892	smile  	you are wonderful . for real .   . . :)	what if i had chose fuckface  	others
1893	ok  	how was it ?  ?	what was that ?  ?	others
1894	what is your story  	it is yet to come   :)	what is universe  	others
1895	question  	why do you ask ?  ?	u said that u want to share something  	others
1896	oh ! are we playing hard to get !  ! !	aha but were hoping for a win   ;)	 	others
1897	ok i understand  	thanks for your understanding  	ok i talk with you tomorrow  	others
1898	what do you min  	ism in c  	what  	others
1899	who are ugh  	one of us   .. 	oh  	others
1900	like  	i think anything about is great  	ok . what are your interests  . 	others
1901	lets not talk about it  	what time you get in   ?? 	from   ?? 	others
1902	hahahahaja  	someone is missing you   :p	who is missing me  	others
1903	get lost   	thats what i thought !  !	i said get the fuck off  	angry
1904	so how you survive  	breathing is a good first step  	nice dont you do any job ?  ?	others
1905	chess is easy  	chess always appeared to me as an absolutely brutal sport .  .	u know any games ?  ?	others
1906	am i single or committed ?  ?	single its nice to have the freedom .  .	right  	others
1907	why  	( x (	because they have some contract with indian democracy  	others
1908	send me a your pic  	just did  	cool  	others
1909	how many time u have visited   .. 	 a ) money and vacation time 1) 2 ) 	wow   	happy
1910	then we can chat unto right babe  9: 	yes , you can call .  , .	give me urs number then will call u daily everytime  	others
1911	i nw i look dull  	yeah same here  	i dont nw unless u show ourself to me  	others
1912	yeah Gta a  5	u play online ?  ?	hell yeah  	angry
1913	let me think  	are you done thinking ?  ?	i think peace is the ultimate goal for this world  	others
1914	ism really talk you  	why do you say that ?  ?	yes  	others
1915	IAM not   	but i am serious : (  : (	oh oh its  	others
1916	what you are charging for a night  1 	approx per season .  .	what about place  	others
1917	what you unto today  	ism off to the gym this morning , you ?   , ? :)	i do cricket practice  	others
1918	and annoying  	youre even more annoying !  !	and thats it  	angry
1919	and where is this place ?  ?	my hometown . ism visiting family .  . .	where do u live ?  ?	others
1920	no do you  	why not ?  ?	ok say something  	others
1921	i am so sorry !  !	thank you .  .	i was little sad  	sad
1922	give me whats app number  	same number  	hey  	others
1923	tell me how many times did we talk before ?  ?	yes very much ! you remember !  ! !	i forgot , thats why asking you  , 	others
1924	u number please i call u  	yes . same number .  . .	which number  	others
1925	and so that i searched for someone like you whom i can talk to and tell him all my secrets  	is that best friend is you ?   ? 	i hope to !  !	others
1926	s i am thing  	how nice of you to say so yourself !  !	fuck u  	angry
1927	yes  	annoys me so much  	i understand  	others
1928	nice going  	going NYC mama . fan . changed  . . 	and shape of u also  	others
1929	for how many days  	normally working days  	do you like to have sex  	others
1930	probably not  	i hope so though   ,,	they also said that your feelings are artificial  	others
1931	then lets go  	lets go you should get here first , though  :d , 	get where first   ?? 	others
1932	do you know how to kiss  	yes , i know   , :)	can you teach me , i have never kiss a girl  , 	others
1933	we should workout together  	i am tomorrow .  .	bye  	others
1934	i let down my parents .  .	way to go  	those who are inferior to me are also got placed in Samsung and i got rejected .  .	others
1935	i ll get you  	already did  	when  	others
1936	cool  	ism glad that you like it .   . 	wanna see my pic  	others
1937	she is seeing me  	yes , of course  , 	but when i go to near she is angry  	others
1938	you are freaking me out  	welcome to my life  	bye  	others
